file_name,initial_shape,initial_dtype,initial_voxel_size,initial_total_voxels,initial_file_size_MB,final_shape,final_dtype,final_voxel_size,final_total_voxels,final_file_size_MB
D:/alzheimerDataset\sub-01\func\sub-01_task-msit_dir-AP_bold.nii.gz,"(108, 108, 72, 330)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0), np.float32(0.8))",277136640,303.9474058151245,"(108, 108, 72)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0))",839808,1.3509445190429688
D:/alzheimerDataset\sub-01\func\sub-01_task-msit_dir-PA_bold.nii.gz,"(108, 108, 72, 330)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0), np.float32(0.8))",277136640,299.86933612823486,"(108, 108, 72)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0))",839808,1.3508224487304688
D:/alzheimerDataset\sub-01\func\sub-01_task-rest_dir-AP_bold.nii.gz,"(108, 108, 72, 560)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0), np.float32(0.8))",470292480,513.0679197311401,"(108, 108, 72)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0))",839808,1.3377532958984375
D:/alzheimerDataset\sub-01\func\sub-01_task-rest_dir-PA_bold.nii.gz,"(108, 108, 72, 560)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0), np.float32(0.8))",470292480,506.0090284347534,"(108, 108, 72)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0))",839808,1.3466987609863281
D:/alzheimerDataset\sub-01\func\sub-01_task-sternberg_dir-AP_bold.nii.gz,"(108, 108, 72, 515)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0), np.float32(0.8))",432501120,475.0892553329468,"(108, 108, 72)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0))",839808,1.3504314422607422
D:/alzheimerDataset\sub-01\func\sub-01_task-sternberg_dir-PA_bold.nii.gz,"(108, 108, 72, 515)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0), np.float32(0.8))",432501120,468.7058000564575,"(108, 108, 72)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0))",839808,1.3513689041137695
D:/alzheimerDataset\sub-02\func\sub-02_task-msit_dir-AP_bold.nii.gz,"(108, 108, 72, 330)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0), np.float32(0.8))",277136640,306.00287532806396,"(108, 108, 72)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0))",839808,1.3901147842407227
D:/alzheimerDataset\sub-02\func\sub-02_task-msit_dir-PA_bold.nii.gz,"(108, 108, 72, 330)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0), np.float32(0.8))",277136640,301.67854022979736,"(108, 108, 72)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0))",839808,1.3664169311523438
D:/alzheimerDataset\sub-02\func\sub-02_task-rest_dir-AP_bold.nii.gz,"(108, 108, 72, 560)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0), np.float32(0.8))",470292480,520.0780773162842,"(108, 108, 72)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0))",839808,1.3909835815429688
D:/alzheimerDataset\sub-02\func\sub-02_task-rest_dir-PA_bold.nii.gz,"(108, 108, 72, 560)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0), np.float32(0.8))",470292480,512.8995084762573,"(108, 108, 72)",float64,"(np.float32(2.0), np.float32(2.0), np.float32(2.0))",839808,1.3677253723144531
