file_name,initial_shape,initial_dtype,initial_voxel_size,initial_total_voxels,initial_file_size_MB,final_shape,final_dtype,final_voxel_size,final_total_voxels,final_file_size_MB
D:/aphasia_dataset\derivatives\lesion_masks\sub-M2001\ses-1253\anat\sub-M2001_ses-1253_acq-spc3_run-3_T2w_desc-lesion_mask.nii.gz,"(160, 256, 256)",float64,"(np.float32(0.9999953), np.float32(1.0), np.float32(1.0))",10485760,0.024298667907714844,"(160, 256, 256)",float64,"(np.float32(0.9999953), np.float32(1.0), np.float32(1.0))",10485760,0.024298667907714844
D:/aphasia_dataset\derivatives\lesion_masks\sub-M2002\ses-1441\anat\sub-M2002_ses-1441_acq-tse3_run-4_T2w_desc-lesion_mask.nii.gz,"(160, 256, 256)",float64,"(np.float32(1.0000032), np.float32(1.0), np.float32(1.0))",10485760,0.021149635314941406,"(160, 256, 256)",float64,"(np.float32(1.0000032), np.float32(1.0), np.float32(1.0))",10485760,0.021149635314941406
D:/aphasia_dataset\derivatives\lesion_masks\sub-M2004\ses-755\anat\sub-M2004_ses-755_acq-spc3_run-6_T2w_desc-lesion_mask.nii.gz,"(160, 256, 256)",float64,"(np.float32(1.0000038), np.float32(1.0), np.float32(1.0))",10485760,0.01677703857421875,"(160, 256, 256)",float64,"(np.float32(1.0000038), np.float32(1.0), np.float32(1.0))",10485760,0.01677703857421875
D:/aphasia_dataset\derivatives\lesion_masks\sub-M2005\ses-1034\anat\sub-M2005_ses-1034_acq-spc3_run-2_T2w_desc-lesion_mask.nii.gz,"(160, 254, 256)",float64,"(np.float32(0.99999994), np.float32(1.0), np.float32(1.0))",10403840,0.017084121704101562,"(160, 254, 256)",float64,"(np.float32(0.99999994), np.float32(1.0), np.float32(1.0))",10403840,0.017084121704101562
D:/aphasia_dataset\derivatives\lesion_masks\sub-M2006\ses-2381\anat\sub-M2006_ses-2381_acq-spc3_run-5_T2w_desc-lesion_mask.nii.gz,"(160, 256, 256)",float64,"(np.float32(0.99999994), np.float32(1.0), np.float32(1.0))",10485760,0.020218849182128906,"(160, 256, 256)",float64,"(np.float32(0.99999994), np.float32(1.0), np.float32(1.0))",10485760,0.020218849182128906
D:/aphasia_dataset\derivatives\lesion_masks\sub-M2007\ses-6330\anat\sub-M2007_ses-6330_acq-tse3_run-5_T2w_desc-lesion_mask.nii.gz,"(160, 256, 256)",float64,"(np.float32(1.0000002), np.float32(1.0), np.float32(1.0))",10485760,0.029256820678710938,"(160, 256, 256)",float64,"(np.float32(1.0000002), np.float32(1.0), np.float32(1.0))",10485760,0.029256820678710938
D:/aphasia_dataset\derivatives\lesion_masks\sub-M2009\ses-2830\anat\sub-M2009_ses-2830_acq-spc3_run-5_T2w_desc-lesion_mask.nii.gz,"(160, 256, 256)",float64,"(np.float32(1.0000002), np.float32(1.0), np.float32(1.0))",10485760,0.01895904541015625,"(160, 256, 256)",float64,"(np.float32(1.0000002), np.float32(1.0), np.float32(1.0))",10485760,0.01895904541015625
D:/aphasia_dataset\derivatives\lesion_masks\sub-M2011\ses-339\anat\sub-M2011_ses-339_acq-spc3_run-3_T2w_desc-lesion_mask.nii.gz,"(160, 256, 256)",float64,"(np.float32(0.9999981), np.float32(1.0), np.float32(1.0))",10485760,0.01882457733154297,"(160, 256, 256)",float64,"(np.float32(0.9999981), np.float32(1.0), np.float32(1.0))",10485760,0.01882457733154297
D:/aphasia_dataset\derivatives\lesion_masks\sub-M2012\ses-1158\anat\sub-M2012_ses-1158_acq-spc3_run-4_T2w_desc-lesion_mask.nii.gz,"(160, 256, 256)",float64,"(np.float32(1.0000013), np.float32(1.0), np.float32(1.0))",10485760,0.01788330078125,"(160, 256, 256)",float64,"(np.float32(1.0000013), np.float32(1.0), np.float32(1.0))",10485760,0.01788330078125
D:/aphasia_dataset\derivatives\lesion_masks\sub-M2013\ses-195\anat\sub-M2013_ses-195_acq-spc3_run-3_T2w_desc-lesion_mask.nii.gz,"(160, 256, 256)",float64,"(np.float32(1.0000026), np.float32(1.0), np.float32(1.0))",10485760,0.011331558227539062,"(160, 256, 256)",float64,"(np.float32(1.0000026), np.float32(1.0), np.float32(1.0))",10485760,0.011331558227539062
