file_name,initial_shape,initial_dtype,initial_voxel_size,initial_total_voxels,initial_file_size_MB,final_shape,final_dtype,final_voxel_size,final_total_voxels,final_file_size_MB
D:/strokeDataset\derivatives\lesion_masks\sub-1\dwi\sub-1_space-TRACE_desc-lesionAcute_mask.nii.gz,"(256, 256, 26)",float64,"(np.float32(0.9375001), np.float32(0.93750006), np.float32(5.9999986))",1703936,0.0027093887329101562,"(256, 256, 26)",float64,"(np.float32(0.9375001), np.float32(0.93750006), np.float32(5.9999986))",1703936,0.0027093887329101562
D:/strokeDataset\derivatives\lesion_masks\sub-1\dwi\sub-1_space-TRACE_desc-lesionChronic_mask.nii.gz,"(256, 256, 26)",float64,"(np.float32(0.9375001), np.float32(0.93750006), np.float32(5.9999986))",1703936,0.0032215118408203125,"(256, 256, 26)",float64,"(np.float32(0.9375001), np.float32(0.93750006), np.float32(5.9999986))",1703936,0.0032215118408203125
D:/strokeDataset\derivatives\lesion_masks\sub-1\dwi\sub-1_space-TRACE_desc-lesion_mask.nii.gz,"(256, 256, 26)",float64,"(np.float32(0.9375001), np.float32(0.93750006), np.float32(5.9999986))",1703936,0.00400543212890625,"(256, 256, 26)",float64,"(np.float32(0.9375001), np.float32(0.93750006), np.float32(5.9999986))",1703936,0.00400543212890625
D:/strokeDataset\derivatives\lesion_masks\sub-10\dwi\sub-10_space-TRACE_desc-lesionAcute_mask.nii.gz,"(224, 224, 25)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(6.000001))",1254400,0.0017976760864257812,"(224, 224, 25)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(6.000001))",1254400,0.0017976760864257812
D:/strokeDataset\derivatives\lesion_masks\sub-10\dwi\sub-10_space-TRACE_desc-lesion_mask.nii.gz,"(224, 224, 25)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(6.000001))",1254400,0.00179290771484375,"(224, 224, 25)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(6.000001))",1254400,0.00179290771484375
D:/strokeDataset\derivatives\lesion_masks\sub-100\dwi\sub-100_space-TRACE_desc-lesionAcute_mask.nii.gz,"(256, 256, 26)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(5.9999976))",1703936,0.0031719207763671875,"(256, 256, 26)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(5.9999976))",1703936,0.0031719207763671875
D:/strokeDataset\derivatives\lesion_masks\sub-100\dwi\sub-100_space-TRACE_desc-lesion_mask.nii.gz,"(256, 256, 26)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(5.9999976))",1703936,0.0031671524047851562,"(256, 256, 26)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(5.9999976))",1703936,0.0031671524047851562
D:/strokeDataset\derivatives\lesion_masks\sub-1000\dwi\sub-1000_space-TRACE_desc-lesionAcute_mask.nii.gz,"(224, 224, 25)",float64,"(np.float32(1.1057693), np.float32(1.1057693), np.float32(6.0000005))",1254400,0.0014400482177734375,"(224, 224, 25)",float64,"(np.float32(1.1057693), np.float32(1.1057693), np.float32(6.0000005))",1254400,0.0014400482177734375
D:/strokeDataset\derivatives\lesion_masks\sub-1000\dwi\sub-1000_space-TRACE_desc-lesion_mask.nii.gz,"(224, 224, 25)",float64,"(np.float32(1.1057693), np.float32(1.1057693), np.float32(6.0000005))",1254400,0.0014352798461914062,"(224, 224, 25)",float64,"(np.float32(1.1057693), np.float32(1.1057693), np.float32(6.0000005))",1254400,0.0014352798461914062
D:/strokeDataset\derivatives\lesion_masks\sub-1001\dwi\sub-1001_space-TRACE_desc-lesionAcute_mask.nii.gz,"(224, 224, 26)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(5.9999995))",1304576,0.0023164749145507812,"(224, 224, 26)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(5.9999995))",1304576,0.0023164749145507812
D:/strokeDataset\derivatives\lesion_masks\sub-1001\dwi\sub-1001_space-TRACE_desc-lesion_mask.nii.gz,"(224, 224, 26)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(5.9999995))",1304576,0.00231170654296875,"(224, 224, 26)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(5.9999995))",1304576,0.00231170654296875
D:/strokeDataset\derivatives\lesion_masks\sub-1003\dwi\sub-1003_space-TRACE_desc-lesionAcute_mask.nii.gz,"(480, 480, 25)",float64,"(np.float32(0.5227273), np.float32(0.52272725), np.float32(6.0000014))",5760000,0.005816459655761719,"(480, 480, 25)",float64,"(np.float32(0.5227273), np.float32(0.52272725), np.float32(6.0000014))",5760000,0.005816459655761719
D:/strokeDataset\derivatives\lesion_masks\sub-1003\dwi\sub-1003_space-TRACE_desc-lesion_mask.nii.gz,"(480, 480, 25)",float64,"(np.float32(0.5227273), np.float32(0.52272725), np.float32(6.0000014))",5760000,0.0058116912841796875,"(480, 480, 25)",float64,"(np.float32(0.5227273), np.float32(0.52272725), np.float32(6.0000014))",5760000,0.0058116912841796875
D:/strokeDataset\derivatives\lesion_masks\sub-1004\dwi\sub-1004_space-TRACE_desc-lesionAcute_mask.nii.gz,"(256, 256, 26)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(5.9999986))",1703936,0.0019140243530273438,"(256, 256, 26)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(5.9999986))",1703936,0.0019140243530273438
D:/strokeDataset\derivatives\lesion_masks\sub-1004\dwi\sub-1004_space-TRACE_desc-lesion_mask.nii.gz,"(256, 256, 26)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(5.9999986))",1703936,0.0019092559814453125,"(256, 256, 26)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(5.9999986))",1703936,0.0019092559814453125
D:/strokeDataset\derivatives\lesion_masks\sub-1005\dwi\sub-1005_space-TRACE_desc-lesionAcute_mask.nii.gz,"(240, 240, 24)",float64,"(np.float32(1.0416666), np.float32(1.0416666), np.float32(6.0))",1382400,0.0017719268798828125,"(240, 240, 24)",float64,"(np.float32(1.0416666), np.float32(1.0416666), np.float32(6.0))",1382400,0.0017719268798828125
D:/strokeDataset\derivatives\lesion_masks\sub-1005\dwi\sub-1005_space-TRACE_desc-lesionChronic_mask.nii.gz,"(240, 240, 24)",float64,"(np.float32(1.0416666), np.float32(1.0416666), np.float32(6.0))",1382400,0.0017194747924804688,"(240, 240, 24)",float64,"(np.float32(1.0416666), np.float32(1.0416666), np.float32(6.0))",1382400,0.0017194747924804688
D:/strokeDataset\derivatives\lesion_masks\sub-1005\dwi\sub-1005_space-TRACE_desc-lesion_mask.nii.gz,"(240, 240, 24)",float64,"(np.float32(1.0416666), np.float32(1.0416666), np.float32(6.0))",1382400,0.0018262863159179688,"(240, 240, 24)",float64,"(np.float32(1.0416666), np.float32(1.0416666), np.float32(6.0))",1382400,0.0018262863159179688
D:/strokeDataset\derivatives\lesion_masks\sub-1006\dwi\sub-1006_space-TRACE_desc-lesionAcute_mask.nii.gz,"(224, 224, 25)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(6.0000014))",1254400,0.0016107559204101562,"(224, 224, 25)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(6.0000014))",1254400,0.0016107559204101562
D:/strokeDataset\derivatives\lesion_masks\sub-1006\dwi\sub-1006_space-TRACE_desc-lesionChronic_mask.nii.gz,"(224, 224, 25)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(6.0000014))",1254400,0.0017490386962890625,"(224, 224, 25)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(6.0000014))",1254400,0.0017490386962890625
D:/strokeDataset\derivatives\lesion_masks\sub-1006\dwi\sub-1006_space-TRACE_desc-lesion_mask.nii.gz,"(224, 224, 25)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(6.0000014))",1254400,0.0018243789672851562,"(224, 224, 25)",float64,"(np.float32(1.1057692), np.float32(1.1057693), np.float32(6.0000014))",1254400,0.0018243789672851562
D:/strokeDataset\derivatives\lesion_masks\sub-1007\dwi\sub-1007_space-TRACE_desc-lesionAcute_mask.nii.gz,"(256, 256, 28)",float64,"(np.float32(0.9385959), np.float32(0.93859595), np.float32(6.0000014))",1835008,0.0023984909057617188,"(256, 256, 28)",float64,"(np.float32(0.9385959), np.float32(0.93859595), np.float32(6.0000014))",1835008,0.0023984909057617188
D:/strokeDataset\derivatives\lesion_masks\sub-1007\dwi\sub-1007_space-TRACE_desc-lesion_mask.nii.gz,"(256, 256, 28)",float64,"(np.float32(0.9385959), np.float32(0.93859595), np.float32(6.0000014))",1835008,0.0023937225341796875,"(256, 256, 28)",float64,"(np.float32(0.9385959), np.float32(0.93859595), np.float32(6.0000014))",1835008,0.0023937225341796875
D:/strokeDataset\derivatives\lesion_masks\sub-1009\dwi\sub-1009_space-TRACE_desc-lesionAcute_mask.nii.gz,"(256, 256, 26)",float64,"(np.float32(0.92345726), np.float32(0.92345726), np.float32(6.0))",1703936,0.0021314620971679688,"(256, 256, 26)",float64,"(np.float32(0.92345726), np.float32(0.92345726), np.float32(6.0))",1703936,0.0021314620971679688
D:/strokeDataset\derivatives\lesion_masks\sub-1009\dwi\sub-1009_space-TRACE_desc-lesion_mask.nii.gz,"(256, 256, 26)",float64,"(np.float32(0.92345726), np.float32(0.92345726), np.float32(6.0))",1703936,0.0021266937255859375,"(256, 256, 26)",float64,"(np.float32(0.92345726), np.float32(0.92345726), np.float32(6.0))",1703936,0.0021266937255859375
D:/strokeDataset\derivatives\lesion_masks\sub-101\dwi\sub-101_space-TRACE_desc-lesionAcute_mask.nii.gz,"(256, 256, 24)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(6.0000005))",1572864,0.0022754669189453125,"(256, 256, 24)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(6.0000005))",1572864,0.0022754669189453125
D:/strokeDataset\derivatives\lesion_masks\sub-101\dwi\sub-101_space-TRACE_desc-lesion_mask.nii.gz,"(256, 256, 24)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(6.0000005))",1572864,0.0022706985473632812,"(256, 256, 24)",float64,"(np.float32(0.8984375), np.float32(0.8984375), np.float32(6.0000005))",1572864,0.0022706985473632812
