,session_order,APOE_rs429358,APOE_rs7412,APOE_haplotype,PICALM_rs3851179,age,sex,education,learning_deficits,BMI,allergies,drugs,ibuprofen_intake,thyroid_diseases,hypertension,diabetes,other_diseases,smoking_status,coffee_status,dementia_history_parents,BDI,SES,RPM,EHI,NEO_NEU,NEO_EXT,NEO_OPE,NEO_AGR,NEO_CON,AUDIT,MINI-COPE_1,MINI-COPE_2,MINI-COPE_3,MINI-COPE_4,MINI-COPE_5,MINI-COPE_6,MINI-COPE_7,MINI-COPE_8,MINI-COPE_9,MINI-COPE_10,MINI-COPE_11,MINI-COPE_12,MINI-COPE_13,MINI-COPE_14,CVLT_1,CVLT_2,CVLT_3,CVLT_4,CVLT_5,CVLT_6,CVLT_7,CVLT_8,CVLT_9,CVLT_10,CVLT_11,CVLT_12,CVLT_13,leukocytes,erythrocytes,hemoglobin,hematocrit,MCV,MCH,MCHC,RDW-CV,platelets,PDW,MPV,P-LCR,neutrophils,lymphocytes,monocytes,eosinophils,basophils,neutrophils_%,lymphocytes_%,monocytes_%,eosinophils_%,basophils_%,total_cholesterol,cholesterol_HDL,non-HDL_cholesterol,LDL_cholesterol,triglycerides,HSV_r
session_order,1.0,0.008530343495074826,0.10733070895647004,,-0.05674345058713142,-0.04147777517807855,-0.0862795962814576,0.129862600948713,-0.05547851387849265,-0.046159035263003384,0.04311753243697937,0.27876404799377663,-0.019154363019117406,0.09334640633568322,0.14285085171770373,,0.12995196684862892,-0.0469901793164428,0.14005661404717207,0.028893944780692033,0.11235712051643093,0.06387701652011746,-0.032233297932419795,0.1517215659880312,-0.06705642693125742,-0.014630687525447536,0.08561726764904977,0.018083099165284406,-0.05050356690370785,-0.00029712570834715006,0.006664758021617435,0.09808031833742632,0.09341178604894133,0.33191031212812655,0.1204424769698355,0.07323959129001857,0.23888512935994363,-0.05710650894149918,-0.007802138359184262,-0.0324455040048708,0.10789902581441238,-0.03482109744581223,0.014633688172482161,0.11747457199858484,-0.17671439394234986,-0.20210839538934774,-0.1028050657147957,-0.09709468413525986,-0.14712801584686633,-0.12525956856056278,-0.1390239293165985,-0.13797862603731462,-0.06255669865388244,0.0068077827293233995,0.12696484997671023,0.1712659173050793,0.06474957268433663,0.30057905894386994,-0.011879137831489467,0.0686229096641056,0.08124434419730144,0.17065556639838766,0.17105100298118017,-0.014862699085141307,-0.007308711381767723,0.13163595727077804,0.005878627119511222,0.03675517154559759,0.05362599485862427,0.3373798186228264,0.04203779224512447,0.2652993395741312,0.08825173063698467,0.0786483566573609,0.1980264788723177,-0.21175174722616708,-0.016357626557941072,0.02553493978320881,-0.047966907090453266,-0.03672172730781634,0.02855469678366853,-0.055877227989436305,-0.03623716844334639,-0.06961933139161647,0.15463616965308138
APOE_rs429358,0.008530343495074826,1.0,-0.06303732915155912,,-0.4107142857142859,-0.20760946113944434,0.0548161262066892,-0.054614526323784156,-0.07768686391803035,-0.06416216937036055,0.07369365083244447,0.09538218151860937,-0.03180430052489047,-0.0877447505531234,-0.1344585290905628,-0.0630373291515591,0.06751743749388256,-0.03940476724189848,0.12817649236389597,-0.1717091421096426,-0.13127858483563443,0.03332367803484633,0.07964172810928884,-0.019274278728805813,-0.044136167624486036,0.09786602671976383,-0.1512096098253408,0.0801647729719667,0.0376627352339483,0.024530297142746193,0.09811551784267869,0.07696406658737623,-0.03273924771074544,0.07186171159281607,-0.0989427195586064,-0.10606620098741053,0.09681689525782233,0.13548469333561156,-0.04940809624606414,-0.06720364271425082,-0.056531430804248994,-0.028255651695565185,-0.11232254115927305,-0.12422114763586427,-0.018354394848429205,-0.06008604613948994,-0.10086087030559952,-0.056310154952828935,0.0028797184913182945,-0.029059272507071205,0.033830546329303005,-0.004266980694286722,-0.2106660473744987,0.07902336235212017,-0.05060227974792255,-0.03985506566537129,-0.1342706664080382,-0.149316360503907,-0.003970681971770441,-0.03574176091992935,0.026315109885805942,0.02593448162256384,-0.05926167695620781,-0.16598057149060896,-0.0017431518577193151,0.11326209807154992,-0.1457793814433384,-0.16377026421740823,-0.15998643249168953,-0.1269651127877234,-0.0800038663880028,-0.12896594146644852,-0.21733431606999576,-0.1073989376464253,-0.022410640021403163,0.07840694378671784,-0.007410371981304218,-0.21462087573861127,-0.09980858742152669,0.04038381416703749,0.11986922124207315,-0.010484534241350055,0.02624183592392194,-0.11061248748201859,-0.02799420802602859
APOE_rs7412,0.10733070895647004,-0.06303732915155912,1.0,,0.12140522651411392,0.13504683998311784,0.11180339887498945,0.04927507849041692,0.04044267313999846,0.03652585737276167,0.21389631597324926,-0.12374728406470309,-0.13654096628466716,-0.03219352202737523,-0.06592371765401568,-0.012820512820512811,-0.06016088004828343,0.1701865703762635,-0.030243528577252633,-0.08418733329609092,-0.025289941574360854,0.19010888958443467,-0.12302919337821604,0.070724631147286,-0.06152423476418419,-0.04232711824248549,0.018690747116091266,-0.00881802224473356,0.014356412254203133,0.16143679356640805,0.023724250234652113,0.13878014830546256,0.1205817025496679,0.16521408988689412,0.006891436714692546,0.15565029065104535,0.042072700983633644,0.07816199541352628,-0.030130871412286903,-0.08332983421161133,0.045603129069007244,0.2553942919172067,-0.04855659769731996,-0.017039104088717373,0.09391284182002375,0.03639709825002317,0.1150962519724473,0.0450935973300563,0.08833613817254617,0.029494310415655936,0.10599934496685401,0.06768974434224116,0.23213487993673085,-0.07921774067648599,-0.06097892166124464,0.0673170287117101,-0.05158726487776987,-0.059318300978664674,-0.1489774660009602,-0.07154478001778984,-0.14014882290435482,0.027559878345721395,0.13276827551726084,0.18801109926634632,-0.0900825020917016,-0.003814199375665709,-0.116371063836185,-0.10248920935931106,-0.10286001125919937,0.02186714099698868,-0.1300381215288231,-0.10947502946639508,-0.02395216400422257,-0.09201768411792818,0.16557430679050922,-0.1529038409709507,-0.07994993988585955,-0.001764587352069453,-0.06307884936403249,0.0790327073127679,0.06699266386904273,0.056299650059630606,0.052774161026065816,0.0224158924946932,0.044946657497549516
APOE_haplotype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICALM_rs3851179,-0.05674345058713142,-0.4107142857142859,0.12140522651411392,,1.0,0.13172462361950948,0.06856366262043051,0.10535399363483046,0.1253800767164982,0.11729833779899214,0.11105067140287223,-0.15303075276612033,0.04433326739833228,0.03963975994372457,-0.00800348387443829,0.1214052265141139,0.05971484023041242,-0.09750678241183304,-0.1618895801991916,0.016693944371770755,-0.026170917346673962,0.1425873071815281,-0.10801326236535376,0.06430757705130158,-0.0040584981723665045,0.035255290189799934,-0.03211008879629502,-0.05893681428829887,0.22723941392662594,-0.10860742246406724,-0.034560176948558834,0.06491103273213769,0.0937887703368662,-0.16056653563185333,0.12447124484302924,0.28667553912086047,-0.06825939377889637,0.018449487355982258,0.057525284535965976,-0.2130925540784016,0.13359101762985354,-0.03484030209069695,-0.09420968466147658,-0.01667750923801829,-0.14783279089788612,-0.18530133173953237,-0.0675219215434975,-0.1180949083038501,-0.12002137068414154,-0.11972603901807594,-0.12338199249510523,-0.1478429792409355,0.09358136394561707,-0.034943393494446626,0.07899508010523587,-0.09173764658715791,0.19081860631732667,0.04756593013684956,0.04539325376635331,0.05373151042225472,-0.012970549806532727,-0.06282333307231161,0.007489951210595431,0.14819148316189715,-0.02848937378752669,-0.1309487482242512,-0.12249447492930975,-0.12324125947852944,-0.1270761774216515,0.002370618880091778,0.09594847269655148,-0.10171238187202007,0.16474579708335788,0.07977601644177178,-0.04969876810300663,0.06113052766943649,-0.20583136305446795,0.1757370908871112,0.07435242002968177,0.060403029192932375,0.12408743796386038,0.009620900241550483,0.054398282154804994,-0.13008025951221083,0.08837745646466702
age,-0.04147777517807855,-0.20760946113944434,0.13504683998311784,,0.13172462361950948,1.0,-0.09110925292509657,0.1999468751868165,0.059827205625461156,0.11618514821908607,-0.04991228114281481,0.20451709923580974,-0.11821440246155235,-0.09843857496867314,0.09322318471538106,0.13504683998311787,0.11148902874274268,0.043543557712203584,0.08351183833224635,0.03107850014590147,-0.06513916924149656,0.17575275744022695,-0.2653192544900645,0.05547471428280042,-0.14448135906949372,-0.04564792341113198,0.20589652337126932,-0.044006998461532124,0.00294224663506073,-0.05949814315390339,0.017705847937293354,0.058812297752562935,0.023540211172858618,0.060446073144602486,0.07787880960521863,0.08484909753582473,0.030975635956691203,0.03885929796913176,0.22239947084909867,-0.053297804452755816,0.056301318474488396,0.05285168517969403,-0.0035957591873734597,-0.0018285525339196923,-0.16386795764947173,-0.11956813832434009,-0.1270957893837881,0.045160664138672396,-0.18769771448482364,-0.26111218174215395,-0.19941112297933677,-0.20849645631534539,0.14521471310439468,0.0016511231395200327,0.1506087821899486,-0.09360044336429005,0.21794174168854913,-0.0586414006869533,0.08724825885229616,0.12219107898294039,-0.013227693758119732,-0.1686133961058925,0.07339433769204083,0.3847299580588207,-0.11706608489476814,-0.374728116285084,0.19289530616104741,0.17771614665125388,0.1868894365208892,-0.1123689910841655,0.030644196770969023,0.05276687840096179,-0.028467478756523484,0.055430068039226454,-0.12198747704385443,0.07704600197480822,0.1903148321477589,-0.018108341357510417,0.10222798544713771,-0.00578651480531467,-0.05106011320099065,0.017033300264278992,0.025094941754572064,-0.02015463566473908,-0.003934802702708245
sex,-0.0862795962814576,0.0548161262066892,0.11180339887498945,,0.06856366262043051,-0.09110925292509657,1.0,-0.0681770852267955,0.024522613711945133,-0.3405329943877167,-0.02486494166789208,0.062420027679921594,0.04082699007847977,0.28249700929494165,-0.18205124379479432,-0.1146701526922969,0.09316051410668046,-0.034213653888300014,-0.027665421454715823,0.13930396406992301,-0.05601145680719964,0.1596101652578247,-0.04417026325555353,0.00790725414644648,-0.025725238197702976,0.18684406601475423,0.026965576573925745,0.17118074460979238,0.17251289282510332,-0.2725771404687183,0.09252420041184492,0.2116119339582279,-0.09585676621731211,-0.002475901584212137,-0.2395525765962326,0.01762392494621098,0.1398332551937804,0.17674553996785394,0.17743988055217888,0.09582746083763172,0.12210247672616135,-0.06846807339122725,-0.15423984379775935,-0.05763779639813621,0.3215556067255672,0.22770495351240672,0.27895390270860765,0.18838043611027044,0.3373786187543068,0.22372704477037797,0.26280090964486513,0.180029732552468,0.03904621453461168,-0.08659994599743566,-0.23939250758531733,0.08438636137290119,-0.17552758838290827,-0.2736381243311113,-0.44827692841355304,-0.5054326774107136,-0.44931348819653427,0.17308680955522046,-0.11553211468638772,-0.4035820525914803,0.06739621063061674,0.15341960140279204,-0.08363820676760288,-0.038231268119438985,-0.04841000858900642,-0.24116769033739194,-0.13457992848264075,-0.493972864660155,-0.019016140655145234,-0.009590046286119858,-0.041081138869757026,0.1063668127866469,-0.32038884733015005,0.06875349688224305,0.13598968052479554,0.43325246505411924,0.6009783205349963,0.20150084856960285,0.2654303635300967,-0.14565494322727185,0.16600068540890897
education,0.129862600948713,-0.054614526323784156,0.04927507849041692,,0.10535399363483046,0.1999468751868165,-0.0681770852267955,1.0,0.1276251857258682,-0.030898382167695228,0.049387195988537434,-0.0681770852267953,0.0530988008256907,-0.22794037622744645,-0.05901030271330247,0.04927507849041689,-0.037268093168159246,-0.026250782013264144,0.03927690541940734,0.06269112727194201,-0.026621604784827734,0.0782518853026758,0.05854374870098723,0.13007051385064292,-0.14005263333538046,-0.03466921134741912,-0.17120051237394854,0.24211376687854502,0.16852186443378028,0.07354020382296116,0.13716778808180558,0.26925052686032297,-0.023202463066239052,0.03131623463704988,-0.06543260372059424,0.2916805293495691,-0.022134550207232886,-0.10087308577701139,-0.07620758709782749,-0.07204480179387873,-0.007192457079643602,0.07317931658415158,-0.10352763130432298,0.04960653987991493,0.08822768792717632,0.12235275400352734,0.039399153152185847,0.156495301549918,0.1332632823523665,0.05182114322440119,0.07116284594056141,-0.0014616815954019995,-0.22754014027515998,-0.14319049176714257,0.0034621771794704575,-0.068896992518683,-0.10207978259096996,0.03278781527600769,-0.06412971175995372,0.05543518501241754,0.044671863863199636,0.18699462811498238,0.18007992820614843,0.05591524676295567,0.04992849431182571,-0.2902166731743998,0.16263149460661727,0.1909457431137386,0.19826843243217399,0.1659896557984911,-0.22028179155942196,0.1315820396170259,0.07869372998314435,0.13559787941257867,0.31224696094021165,-0.3998565646573721,0.1577148717691709,0.07507167530888939,0.1379554402491955,-0.01751315493853163,0.018228938752660222,-0.026378555297965196,0.04039538218318131,-0.21241962508341955,0.07277327913295666
learning_deficits,-0.05547851387849265,-0.07768686391803035,0.04044267313999846,,0.1253800767164982,0.059827205625461156,0.024522613711945133,0.1276251857258682,1.0,-0.04831531002425524,0.048554314888408355,-0.04918033824323986,-0.03398003474637829,0.09452609029341606,-0.18608511183292176,0.040442673139998435,-0.02385179223789622,-0.15254381035269987,-0.06360059468106419,-0.052989676392566194,0.0730969982639585,0.020874730511367044,0.1973271041036199,-0.1119631492717616,0.05869337894763744,0.0741083587517885,0.0019047810464465611,0.0484407146393388,0.16786999879942113,0.05007926333142567,-0.10792220787638462,0.14592821923564508,-0.010204251052155836,-0.20851371998851456,-0.08897852269028855,0.12066990179912095,-0.1736647724117136,-0.028994056475739056,-0.09319223418156761,-0.10286671006536155,-0.010559244437500606,0.1653657416030148,-0.13129599416012563,0.02379027416954575,0.09991762789407586,0.19587533885573022,0.2176602272307618,-0.07310841168445117,0.12565435539043496,0.08813070241067804,0.061180904424679355,0.05954194836965873,0.023877187343457472,-0.23473585930133173,-0.12672541052831968,0.23411688073603215,0.025278622363019962,-0.031802110745081776,-0.14233051503905664,-0.11342886920047014,-0.09759138469922705,0.09414106889390206,0.030069263583089888,-0.07807771718867966,0.009585799401408081,0.11064450879448003,-0.1873767576181399,-0.15535954926881868,-0.15699290698735044,-0.08475806468495893,0.04580748241061792,0.037830890702375365,-0.017241957632928333,0.09469908835483347,-0.12143895611798287,0.10400123766455713,0.10536970900902312,-0.01484200880890279,0.12621333776573698,0.12838899001366327,0.03907106909399724,0.12580775493029303,0.1264702552069123,0.024622190748636495,-0.04518522545749345
BMI,-0.046159035263003384,-0.06416216937036055,0.03652585737276167,,0.11729833779899214,0.11618514821908607,-0.3405329943877167,-0.030898382167695228,-0.04831531002425524,1.0,-0.055638761990535274,0.027637559412592716,0.03806243294436415,-0.03818060765004901,0.348335162338655,0.2481562882327878,0.2082870716116523,0.13632887925253717,0.15968612212688243,-0.06262634346245209,-0.10343934151784569,0.07292893082563147,-0.060305951106258054,0.08929981836240809,-0.0846685341762263,-0.02914100393889289,-0.04550174827391915,-0.2114722826321696,-0.026715010038213763,0.024732218466094937,-0.192802274958259,-0.15264212240108366,-0.03988237439288774,-0.0026207788163341793,0.25586102176807507,0.04684002796677527,0.027033740094586353,-0.05096995114416092,-0.049460002927956014,-0.04481100992085704,-0.01841990689533503,-0.10825934034300545,-0.005501449202284776,-0.12974197807419363,-0.20643675462286543,-0.22297952803474477,-0.1398933606516121,-0.06233398382100988,-0.1743399480637346,-0.17450411452991743,-0.1864278011962311,-0.19106997810237483,0.09303564712480107,0.15562068288953484,0.09162035528882537,-0.0749056074649932,0.013389410612774086,0.37259709972456656,0.40094095566190296,0.2699092481845239,0.2723145698611395,-0.365369244007634,-0.19883970915034282,0.11061743369049694,0.2829550517135911,0.047221531252989425,0.07818211151929003,0.04434023347402234,0.048783189101549086,0.2970784643587123,0.30038148775314427,0.2768256879935039,0.1234287860787563,0.10089031466025909,0.003693324098178587,0.016707310725841872,-0.06850817526520522,-2.5907104324478036e-05,-0.10854045308970729,-0.21176372372001157,-0.5331416942245307,0.011239794695565802,-0.0799342599959531,0.27144267569112907,0.0983619985389598
